itr-nvse opcode allocations

0x4000  SetDialogueTextFilter
0x4001  SetOnStealHandler
0x4002  SetOnWeaponDropHandler
0x4003  SetOnConsoleOpenHandler
0x4004  SetOnConsoleCloseHandler
0x4005  SetOnWeaponJamHandler
0x4006  SetOnControlDisabledHandler
0x4007  SetOnControlEnabledHandler
0x4008  RemoveOnControlDisabledHandler
0x4009  RemoveOnControlEnabledHandler
0x400A  SetOnKeyHeldHandler
0x400B  RemoveOnKeyHeldHandler
0x400C  SetOnKeyHeldReleaseHandler
0x400D  RemoveOnKeyHeldReleaseHandler
0x400E  SetOnDoubleTapHandler
0x400F  RemoveOnDoubleTapHandler
0x4010  SetOnDoubleTapReleaseHandler
0x4011  RemoveOnDoubleTapReleaseHandler
0x4012  SetOnFrenzyHandler
0x4013  SetOnCornerMessageHandler
0x4014  SetOnEntryPointHandler
0x4015  SetOnCombatProcedureHandler
0x4016  SetOnSoundPlayedHandler
0x4017  SetFallDamageMult
0x4018  GetFallDamageMult
0x4019  (unused)
0x401A  FakeHit
0x401B  (unused)
0x401C  SetOnFastTravelHandler
0x401D  SetCameraAngle
0x401E  sv_RegexMatch
0x401F  sv_RegexReplace
0x4020  sv_RegexSearch
0x4021  GetRefsSortedByDistance
0x4022  Duplicate
0x4023  GetAvailableRecipes
0x4024  ClampToGround
0x4025  DumpCombatTarget
0x4026  GetTargetLastSeenLocation
0x4027  GetTargetDetectedLocation
0x4028  GetTargetLastFullyVisibleLocation
0x4029  GetTargetInitialLocation
0x402A  SetNoWeaponSearch
0x402B  GetNoWeaponSearch
0x402C  SetPreventWeaponSwitch
0x402D  GetPreventWeaponSwitch
0x402E  GetPlayingRadioTrack
0x402F  GetPlayingRadioTrackFileName
0x4030  (unused - radio gap)
0x4031  GetPlayingRadioText
0x4032  SetOnMenuFilterChangeHandler
0x4033  SetOnMenuSideChangeHandler
0x4034  ModChallenge
0x4035  SetCreatureCombatSkill
0x4036  ResurrectAll
0x4037  ForceReload
0x4038  GetDialogueInfoFlags
